year,total_slices,mono_bad,conv_bad,conv_interp_bad,conv_extrap_bad,mono_bad_pct,conv_bad_pct,conv_interp_bad_pct,conv_extrap_bad_pct
2003,192,5,48,0,0,2.6041666666666665,25.0,0.0,0.0
2004,186,9,67,0,0,4.838709677419355,36.02150537634409,0.0,0.0
2005,191,13,58,0,0,6.806282722513089,30.36649214659686,0.0,0.0
2006,191,19,58,0,0,9.947643979057592,30.36649214659686,0.0,0.0
2007,247,12,56,0,0,4.8582995951417,22.672064777327936,0.0,0.0
2008,256,30,82,0,0,11.71875,32.03125,0.0,0.0
2009,270,54,131,0,0,20.0,48.51851851851852,0.0,0.0
2010,280,50,135,0,0,17.857142857142858,48.214285714285715,0.0,0.0
2011,310,61,145,0,0,19.677419354838708,46.774193548387096,0.0,0.0
2012,409,47,103,0,0,11.491442542787286,25.183374083129586,0.0,0.0
2013,468,19,58,0,0,4.05982905982906,12.393162393162394,0.0,0.0
2014,500,63,166,0,0,12.6,33.2,0.0,0.0
2015,504,129,225,0,0,25.595238095238095,44.642857142857146,0.0,0.0
2016,501,126,238,0,0,25.149700598802394,47.50499001996008,0.0,0.0
2017,448,69,176,0,0,15.401785714285714,39.285714285714285,0.0,0.0
2018,475,42,149,0,0,8.842105263157896,31.36842105263158,0.0,0.0
2019,485,73,153,0,0,15.051546391752577,31.54639175257732,0.0,0.0
2020,503,50,174,0,0,9.940357852882704,34.59244532803181,0.0,0.0
2021,501,42,192,0,0,8.383233532934131,38.32335329341317,0.0,0.0
2022,502,30,155,0,0,5.9760956175298805,30.87649402390438,0.0,0.0
2023,497,34,154,0,0,6.841046277665996,30.985915492957748,0.0,0.0
2024,82,7,28,0,0,8.536585365853659,34.146341463414636,0.0,0.0
